title,price,quantity,store,availability,primaryProductId,category,longSku,rollback,productType,storeName,storeAddress,storeCity,strikethrough,upc,usItemId,storePostalCode,storeStateOrProvinceCode,reducedPrice,clearance,wupc
,5.0,Limited stock,3,AVAILABLE,43HVIF2ULWKY,,,False,VR Headsets,Commerce Supercenter,30983 Highway 441 S,Commerce,False,681131159630,616121782,30529,GA,False,False,0068113115963
,49.0,In stock,3,AVAILABLE,750SUEK3T2ND,,,False,Home Assistants,Commerce Supercenter,30983 Highway 441 S,Commerce,False,842776105592,434501418,30529,GA,False,False,0084277610559
Roku Express HD WITH $35 CREDIT TOWARDS SLING TV AND 30-DAY FREE TRIAL OF SHOWTIME,29.0,In stock,3,AVAILABLE,5XJMBAL1NW3S,Home Page/Electronics/Home Audio & Theater/Home Theater/Media Players & Recorders/Roku,3900RW,False,Streaming Media Players,Commerce Supercenter,30983 Highway 441 S,Commerce,False,829610001814,562032082,30529,GA,False,False,0082961000181
Google Chromecast 3rd Gen - NEW,35.0,In stock,10,AVAILABLE,2279A06GN55K,Home Page/Electronics/Home Audio & Theater/Home Theater/Media Players & Recorders/Google Chromecast,00842776106131,False,Streaming Media Players,Tahlequah Supercenter,2020 S Muskogee Ave,Tahlequah,False,842776106131,435188866,74464,OK,False,False,
Roku Premiere Streaming Player NEW 2018 - WITH $35 CREDIT TOWARDS SLING TV AND 30-DAY FREE TRIAL OF SHOWTIME,39.0,In stock,3,AVAILABLE,25SYEIFOS75L,Home Page/Electronics/Home Audio & Theater/Home Theater/Media Players & Recorders/Roku,3920RW,False,Streaming Media Players,Commerce Supercenter,30983 Highway 441 S,Commerce,False,829610002880,886364048,30529,GA,False,False,
Google Home Mini- Chalk,49.82,Out of stock,3,NOT_AVAILABLE,6K5R92Q662TH,"Home Page/Electronics/Smart Home/Smart Home Assistants, Controllers & Hubs/Smart Home Assistants & Voice Control/Smart Home Assistants",08427761019454,False,Home Assistants,Commerce Supercenter,30983 Highway 441 S,Commerce,False,,732881809,30529,GA,False,False,0842776101945
Google Home Mini- Charcoal,49.82,Out of stock,3,NOT_AVAILABLE,2F1TBHZI2E3Z,"Home Page/Electronics/Smart Home/Smart Home Assistants, Controllers & Hubs/Smart Home Assistants & Voice Control/Smart Home Assistants",08427761021402,False,Home Assistants,Commerce Supercenter,30983 Highway 441 S,Commerce,False,,337724315,30529,GA,False,False,0842776102140
"ONN Full-Motion Wall Mount for 10""- 50"" TVs with Tilt and Swivel Articulating Arm and HDMI Cable (UL Certified)",14.99,Out of stock,3,NOT_AVAILABLE,3QA7SCOX4BIW,Home Page/Electronics/TV & Video/TV Accessories/TV Mounts,00681131134453,False,TV & Monitor Mounts,Commerce Supercenter,30983 Highway 441 S,Commerce,True,681131134453,55592117,30529,GA,False,False,0068113113445
HP DeskJet 2622 All-in-One Printer,49.0,Out of stock,3,NOT_AVAILABLE,7GJGB3FPIQSK,Home Page/Shop by Brand/Electronics by Brand/HP/HP Printers,V1N07A#1H5,False,Printers & All-in-Ones,Commerce Supercenter,30983 Highway 441 S,Commerce,False,191628246861,356481772,30529,GA,False,False,0019162824686
,5.0,In stock,7,AVAILABLE,43HVIF2ULWKY,,,False,VR Headsets,Sherwood Supercenter,9053 Highway 107,Sherwood,False,681131159630,616121782,72120,AR,False,False,0068113115963
