skuVal,title,price,quantity,store,availability,primaryProductId,category,longSku,rollback,productType,storeName,storeAddress,storeCity,strikethrough,upc,usItemId,storePostalCode,storeStateOrProvinceCode,reducedPrice,clearance,wupc
831381829,Sunny Day Hair Day Out Hood Bath Towel,12.88,Limited stock,2265,AVAILABLE,6F1H0PHI29OO,Home Page/Home/Kids' Rooms/Kids' Bathroom/Kids' Towels,HH022W,False,Towels & Washcloths,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,073558761051,831381829,29680,SC,False,False,0007355876105
49692798,"Turtle Wax Max-Power Car Wash, 100 oz",5.52,In stock,2265,AVAILABLE,3CA6RQIGW4VN,Home Page/Auto & Tires/Auto Detailing & Car Care/Car Wash Soap and Car Shampoo/Car Shampoo and Soap,6CCB9EB18E191E7,False,"Automotive Cleaners, Polishes & Waxes",Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,074660505977,49692798,29680,SC,False,False,0007466050597
728561129,,15.29,Unknown,2265,AVAILABLE,3V70ZNC4PXRO,,,False,Vitamins & Supplements,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,681131058568,24547733,29680,SC,False,False,0068113105856
764024834,"(2 Pack) Philips Avent Freeflow Pacifier 0-6m, Color may vary, 2 pack, SCF178/23",9.96,Unknown,2265,AVAILABLE,45JEZK085U93,Home Page/Baby/Feeding/Philips Avent Pacifiers,a4259f58-6e39-4f8a-b54b-2aa1f568aaf5,False,Baby Pacifiers,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,,764024834,29680,SC,False,False,
55420123,Banzai Kids Inflatable Mega Boxing Gloves,6.88,In stock,2265,AVAILABLE,3YP6M7X2PVU0,Home Page/Toys/Outdoor Play/Outdoor Games,48263,False,Toy Sports Equipment,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,191124482633,55420123,29680,SC,False,False,0019112448263
21976564,"906F Sheerweight Fusible Packaged Interfacing 15"" x 3 yds",7.19,Limited stock,2265,AVAILABLE,5L965KGWFPMT,Home Page/Electronics/Audio/Audio Visual Accessories,00075269009071,False,Fabric Interfacing,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,075269009071,21976564,29680,SC,False,False,0007526900907
12443842,,3.18,In stock,2265,AVAILABLE,3O91IS1T0IX2,,,False,Household Cleaners,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,,963889392,29680,SC,False,False,
606945136,(2 Pack) Seventh Generation Dishwasher Detergent Packs Fragrance Free 45 count,21.96,Unknown,2265,AVAILABLE,27P5IUIW5D8Y,Home Page/Household Essentials/Cleaning Supplies/Dishwashing/Dishwasher Detergent,04696069451363,False,Dishwasher Detergents,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,,606945136,29680,SC,False,False,
19341312,Lion Brand Yarn Hometown USA Cincinnati Red 135-113 Classic Bulky Yarn,2.97,Limited stock,2265,AVAILABLE,0TI9YREKY8W5,"Home Page/Arts, Crafts & Sewing/Yarn",135-113,False,Yarn,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,023032000992,19341312,29680,SC,False,False,0002303200099
539985015,"Wilton Ready-to-Decorate Dazzling Gingerbread House Decorating Kit, Bling House",8.97,In stock,2265,AVAILABLE,46A5XOO0J1SP,Home Page/Party & Occasions/Party Supplies/Christmas Party Supplies/Christmas Treat Decorating/Christmas Gingerbread,2104-6867,False,Dessert Sprinkles & Decorations,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,070896068675,539985015,29680,SC,False,False,
51446584,"David Textiles, Inc. Valentines Kitties 44"" Craft Cotton Fabric By The Yard",6.97,In stock,2265,AVAILABLE,1UOBDM8KBWWP,"Home Page/Arts, Crafts & Sewing/Fabric/Holiday & Special Occasion Fabric/Valentine's Day Fabric",00769678220393,False,Sewing & Craft Fabric,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,769678220393,51446584,29680,SC,False,False,0076967822039
151829030,"Daler - Rowney Simply Acrylic Portrait Pink, 2.6 FL OZ",2.77,Limited stock,2265,AVAILABLE,129D1SAFB9IF,"Home Page/Arts, Crafts & Sewing/Art Supplies/Painting/Paints/All Art Paint",05011386107103,False,Art Paints & Pigment Powders,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,,151829030,29680,SC,False,False,0501138610710
829303780,,11.74,Limited stock,2265,AVAILABLE,74XWGADLO9VM,,,False,Panties,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,885306653279,56261959,29680,SC,False,False,0088530665327
842689736,"Great Value Strong Flex Tall Kitchen Drawstring Trash Bags, Lavender Fields, 13 Gallon, 25 Count",4.44,Limited stock,2265,AVAILABLE,430RMELJR6KY,Home Page/Household Essentials/Paper & Plastic/Trash Bags/Great Value Trash Bags,00078742200378,False,Garbage Bags,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,078742200378,842689736,29680,SC,False,False,0007874220037
53873015,"Philips Avent Anti-Colic Fast Flow Nipple for Avent Anti-Colic Baby Bottles, 6 Months+, BPA-Free, 2pk",4.19,In stock,2265,AVAILABLE,26N5GBH7USSC,Home Page/Baby/Feeding/Bottle Nipples,SCF424/27US,False,Baby Bottle Nipples,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,075020061997,53873015,29680,SC,False,False,0007502006199
10316196,"Vicks VapoRub Chest Rub Ointment for Relief from Cough, Cold, Aches, and Pains, with Original Medicated Vicks Vapors, 1.76 oz",5.44,In stock,2265,AVAILABLE,6BCWK81R115K,"Home Page/Health/Medicine Cabinet/Cough, Cold & Flu",323900003613,False,Over-the-Counter Medicines,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,323900003613,10316196,29680,SC,False,False,0032390000361
10737019,The Sandlot: 25th Anniversary (DVD),9.96,In stock,2265,AVAILABLE,3TGSBJX3A8I0,Home Page/Movies & TV Shows/Movies/Children & Family Movies/Family Comedy Movies,00024543029250,False,Movies,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,True,024543029250,10737019,29680,SC,False,False,0002454302925
10311780,Old Spice High Endurance Pure Sport Body Wash 18 oz Twin,7.43,In stock,2265,AVAILABLE,4WD0X3K2JB7J,Home Page/Personal Care/Bath & Body/Body Wash & Shower Gel,037000076568,False,Body Washes & Shower Gels,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,037000076568,10311780,29680,SC,False,False,0003700007656
13269698,"Neutrogena Skinclearing Mineral Powder, Classic Ivory 10,.34 Oz",11.97,Limited stock,2265,AVAILABLE,489ILCG4A15E,Home Page/Beauty/Makeup/Face,00086800005919,False,Makeup Setting Spray & Finish,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,086800005919,13269698,29680,SC,False,False,0008680000591
279260647,,7.98,Unknown,2265,AVAILABLE,4RY0K7Y2KGIE,,,False,Packaged Breakfast Cereals,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,038000165283,145782283,29680,SC,False,False,0003800016528
25752111,"Brink's 40mm Laminated Steel Padlock, 2-Pack",9.97,Limited stock,2265,AVAILABLE,16P3IBWXFXN6,Home Page/Home Improvement/Home Safety/Door Security Hardware/Padlocks,162-40201-4,False,Padlocks,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,039208953344,25752111,29680,SC,False,False,0003920895334
853892807,"UFC 3, Electronic Arts, Xbox One, 014633370188",24.99,In stock,2265,AVAILABLE,2NEIGRGQ9AF9,Home Page/Video Games/Video Game Titles/Shop by Genre/Action & Adventure,00014633370188,False,Video Games,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,True,014633370188,853892807,29680,SC,False,False,0001463337018
138727502,Kid Casters Paw Patrol Fishing Kit,9.84,Limited stock,2265,AVAILABLE,24E2GPQTY584,Home Page/Sports & Outdoors/Outdoor Sports/Fishing/Fishing Rod & Reel Combos,PPREG17,False,Fishing Rod & Reel Combos,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,857664006257,138727502,29680,SC,False,False,0085766400625
699947086,,11.83,Unknown,2265,AVAILABLE,7AL2IN1I6TFN,,,False,Baby Cereals,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,015000070502,23803902,29680,SC,False,False,0001500007050
21635229,Lansinoh TheraPearl 3-in-1 Breast Therapy Hot or Cold,11.98,Limited stock,2265,AVAILABLE,56NE9MUIK893,Home Page/Baby/Feeding/Breast Shells,0044677102001,False,Books,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,044677102001,21635229,29680,SC,False,False,0004467710200
10318400,"PEDIGREE Small Dog Complete Nutrition Adult Dry Dog Food Roasted Chicken, Rice & Vegetable Flavor, 15.9 lb. Bag",12.39,In stock,2265,AVAILABLE,7KDN6IBR8M02,Home Page/Pets/Dogs/Dog Food,00023100291611,False,Dog Food,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,023100291611,10318400,29680,SC,False,False,0002310029161
